actor,movie_or_TV_name
Adrián Aguirre,"Narcos: Mexico,La Siberia,Gloria,Barbarous Mexico,Z-Baw,Bosquejos,We Are What We Are,Gregoria la cucaracha,Capadocia"
Rocío Canseco,"Esta historia me suena,Narcos: Mexico,Papá a Toda Madre,Como dice el dicho,La rosa de Guadalupe,Amazonas,Love from the Hood,La malquerida,Quiero amarte,The Tempest,The Return,Fortuna,Capadocia,Days of Grace"
Salvador Parra,"Narcos: Mexico,El Hotel"
Tomihuatzi Xelhuantzin,"Selena: The Series,Mentada de Padre,Narcos: Mexico,Atrapada,Sr. Ávila,The Good Girls,Incubados,Champs,El que busca, encuentra,Texas Rising,A Separate Wind,Pulling Strings,Carreteras,Capadocia,The Precocious and Brief Life of Sabina Rivas,Los Gastronautas,Geografías,El Xajchan,Goodbye Cruel World,Vaho,Beverly Hills Chihuahua,La purísima,Bad Girls,Zapata: Amor en rebeldía,Dime lo que sientes,En las arenas negras,Moctezuma's Revenge,Noche santa,Un mundo raro,La cruda de Cornelio"
Julio Camejo,"Narcos: Mexico,La mexicana y el güero,¡Bienvenidos a 'La Mexicana y el Güero'! Detrás de cámaras,Las Buchonas de tierra blanca,Médicos, línea de vida,La taxista,Until the End of Time,Libre para amarte,Amores verdaderos,Niña de mi corazón,Mañana es para siempre,Sex Project,Storm Over Paradise,Destilando amor,Mujer, casos de la vida real,Amar sin límites,Contra viento y marea,Desnudos,Rebelde,Escándalo TV de noche,Loving Again,De pocas, pocas pulgas,¡Vivan los niños!,Clase 406,Salomé,Adventures in Time,First Love,Tabú"
Rafael Simón,"Belle De Jour Remake,El refugio,Love Spells,Who Killed Sara?,Narcos: Mexico,Ready to Mingle,Amar a muerte,Club de Cuervos,Nicky Jam: El Ganador,A ti te quería encontrar,Descontrol,Sun, Sand & Romance,Destination Wedding,La Piloto,The Patriarch,Juego de héroes,Sonata y bronce,Hasta Que Te Conocí,Dariela los martes,Allá y en Tonces,Cinco de Mayo, La Batalla,Gritos de muerte y libertad,Che: Part One,Never on a Sunday,Dream,General Hospital,A Day Without a Mexican,La hoguera donde arde una,Of All the Luck,Passage,Without Rhyme or Reason,El grito,Cena de Nochebuena,El juego sin reglas"
Vladimir Bruciaga,"Arrepentimento,Rumis,Empire of Lies,Enemigo Íntimo,La Doña,Sin miedo a la verdad,Las Buchonas de tierra blanca,La Reina Soy Yo,Amar a muerte,Pervertidas II,Boulangerie de Barrio,Narcos: Mexico,Tres Milagros,Cruzando: El camino es el recuerdo de lo que fueron,Round 13,Perseguidos,Blue Demon,Vuelve Temprano,Mutantes,Amor y otras tragedias,Esto es un asalto,Hay que saber decir que no,La liquidación,Mi mamá me mima,Noches en vela,Si yo fuera mujer,Un cura sin cura,Lady of Steel,Asesino de cuello blanco,El fantasma canta ópera,Los personajes de Matilde,Vuelve el as de la sierra,Mi última función"
Brian Espitia,"Narcos: Mexico,Delinquere,Hasta el final (Going the distance)"
Barry Livingston,"Bosch: Legacy,How I Met Your Father,Notorious Nick,Them,The Rookie,Paper Tiger,The Fugitive,Dead to Me,Bosch,Narcos: Mexico,Truth Be Told,Veronica Mars,The Silent Natural,Sideswiped,Dear White People,The Orville,Me, Myself and I,I'm Sorry,Angie Tribeca,Trial & Error,The Middle,The Bad Twin,Teen Wolf,Christmas with the Andersons,War Dogs,The Fosters,The Last Ship,Hot in Cleveland,Chasing Life,NCIS: Los Angeles,Beautiful & Twisted,24: Solitary,Rizzoli & Isles,Looking for Mr. Right,Jersey Boys,Anger Management,Parenthood,Glee,Mistresses,Real Husbands of Hollywood,Second Chances,It's Always Sunny in Philadelphia,The Man Who Sold the World,Fun Size,Major Crimes,Argo,Melissa & Joey,Revenge,CSI: Miami,Suburgatory,Hostel: Part III,Supah Ninjas,Love's Christmas Journey,Castle,Horrible Bosses,The Event,Grey's Anatomy,The Social Network,Dancing on a Dry Salt Lake,Desperate Housewives,Southland,Pimpin' Pee Wee,The Bold and the Beautiful,Lie to Me,Monk,NCIS,Big Love,Everybody Hates Chris,Expecting a Miracle,Terminator: The Sarah Connor Chronicles,The New Adventures of Old Christine,You Don't Mess with the Zohan,Two and a Half Men,Eli Stone,Final Approach,Mad Men,The King Kaiser Show,Zodiac,Pandemic,Mystery Woman,Rodney,Crossing Jordan,Strong Medicine,First Daughter,Wedding Daze,The Drew Carey Show,She Spies,The Guardian,Dickie Roberts: Former Child Star,Do Over,American Dreams,Son of the Beach,Roswell,Maybe It's Me,Will & Grace,Basic Training,Robbie's Brother,All About Us,Tremors 3: Back to Perfection,The West Wing,Boston Public,Little Man on Campus,Sabrina the Teenage Witch,The Huntress,Zoe, Duncan, Jack & Jane,Judging Amy,The Hughleys,Invisible Mom II,Soldier of Fortune, Inc.,Saved by the Bell: The New Class,Beyond Belief: Fact or Fiction,USA High,Ally McBeal,Sliders,Steel Sharks,The Nanny,Boston Common,Invisible Mom,Lois & Clark: The New Adventures of Superman,The O.J. Simpson Story,The Elf and the Magic Key,The Elf Who Saved Christmas,Maniac Cop 3: Badge of Silence,Doogie Howser, M.D.,The Nutt House,Easy Wheels,Masters of the Universe,1st & Ten,Hart to Hart,Simon & Simon,Alvin & the Chipmunks,High School U.S.A.,Sidewinder 1,Lucas Tanner,Love Is Not Forever,Police Woman,Sons and Daughters,Hurricane,The Elevator,The Streets of San Francisco,Peege,Thicker Than Water,You're a Good Man, Charlie Brown,Ironside,Room 222,The Sandy Duncan Show,My Three Sons,The Two of Us,Vacation Playhouse,Love & Kisses,The Lucy Show,Breaking Point,My Six Loves,Papa's Delicate Condition,Sam Benedict,The Adventures of Ozzie and Harriet,The Dick Van Dyke Show,The Errand Boy,The Dick Powell Theatre"
Paola Flores,"Esta historia me suena,The Club,Vecinos,Narcos: Mexico,El Cesar,Como dice el dicho,Club de Cuervos,Enamorándome de Ramón,Su nombre era Dolores, la Jenn que yo conocí,La rosa de Guadalupe,Yago,El color de la pasión,Por siempre mi amor,Corazón indomable,Hidden in the Woods,Zacatillo, un lugar en tu corazón,One for the Road,Dear Enemy,Insignificant Things,El Pantera,Mujer, casos de la vida real,Guide de la petite vengeance,Barrera de amor,Wooden Woman,Clase 406,De pocas, pocas pulgas,¡Vivan los niños!,I Murder Seriously,El juego de la vida,Las delicias del poder,El séptimo asalto,El último narco del cartel de Juarez,Justicia para un criminal,Tijuana, ciudad de narcos,Preciosa,El rey de la mafia,Vengarse matando,Esmeralda,Salud, dinero y amor,María Isabel,La culpa,Canción de amor,Pobre niña rica,Un asesinato perfecto,Venganza silenciosa,Sender Unknown,Estuches de Madera,Maten al suicida,Muerto el perro se acabo la rabia,Volver a empezar,Herencia homicida,Village of the Damned,Los parientes pobres,Mágica juventud,María Mercedes"
Juan Carlos Vives,"Narcos: Mexico,Malibú,Here on Earth,Run Coyote Run,Ana,Sitiados: México,Sr. Ávila,Luis Miguel: The Series,Wind Traces,La otra María,Huérfanos,Perfect Obedience,El Mariachi,El encanto del águila,Goodbye Cruel World,Gritos de muerte y libertad,On Childhood,Bitten Bullet,Terminales,La purísima,Casa de los babys,Ombligo,Fidel,To Love Too Much,Tótem Insecto,A Second Chance,Un mundo raro,Abandonos,Impetus Apaches,En cualquier parte del mundo,La sonrisa,Requiem"
Roberto Tello,"Amor dividido,Contigo sí,Mi fortuna es amarte,El Galán. La TV cambió, él no,Vencer el pasado,Before I Forget,Control Z,Guerra de Likes,Una familia de diez,Esta historia me suena,El Dragón: Return of a Warrior,Narcos: Mexico,Como dice el dicho,Médicos, línea de vida,You Cannot Hide,Nosotros los guapos,Julia vs Julia,La Reina Soy Yo,Lorenza,Rojo mexicano,Sin miedo a la verdad,La Piloto,40 y 20,The Beauty and the Beasts,Champs,Tres Milagros,Descontrol,La rosa de Guadalupe,La querida del Centauro,El bienamado,Paquita la del Barrio,Las hermanitas Calle,La Selección,Lo que la vida me robó,De que te quiero, te quiero,Durmiendo con mi jefe,Los héroes del norte,La mujer del Vendaval,A Shelter for Love,Double Life,El Equipo,Hasta que el dinero nos separe,Un gancho al corazón,Las tontas no van al cielo,Terminales,Meet the Head of Juan Pérez,Vecinos,Muchachitas como tú,It's Better If Gabriela Doesn't Die,El Pantera,Mujer, casos de la vida real,La verdad oculta,Rebelde,Hospital el paisa,La jaula,Alegrijes y rebujos,Wooden Woman,Clase 406,La familia P. Luche,¡Vivan los niños!,Adventures in Time,Amigas y rivales,El chingón de Durango,Mujeres engañadas,Carita de ángel,Soñadoras,Derbez en cuando,Tu y yo,El premio mayor,Volver a empezar,El vuelo del águila,Two Women, One Road,Mágica juventud,La edad de oro,Milagro y magia,En carne propia,Muchachitas,La telaraña,Mi pequeña Soledad,Papá soltero"
Gotzon Zuloaga,"Toro,Hidrometeoro,Narcos: Mexico,El Casero"
Emmanuel Aguilar,"Narcos: Mexico,Yo soy Pepito,Crónica de Castas,Jaguar,Days of Grace"
Ian Garcia Monterrubio,"Un Dia Para Vivir,Esta historia me suena,Los Dias Que No Estuve,Como dice el dicho,El Dragón: Return of a Warrior,Rubí,Narcos: Mexico,Ana's Desire,Silencio,An Unknown Enemy,The Beauty and the Beasts,La rosa de Guadalupe,Por amar sin ley,Hijas de la luna"
Dana Powell,"Blood,The Locals,Narcos: Mexico,Saved by the Bell,Bite the Hand,Film Fest,Remotely Working,Site Unseen,The Good Place,Valentino and the Prodigy,Baby Love,The Breakup Bar,Modern Family,To the Grave,Ride Sesh,The News Tank,Black-ish,I'm Still a Person,Battlecreek,Curb Your Enthusiasm,Alex & The List,Flip the Script,Temporary,Handsome: A Netflix Mystery Movie,Unit Zero,Ride Shared,Food Court,Piece of Cake,In-Between,Clipped,Hot Girl Walks By,Salem Rogers,Donation,Mom,I Didn't Do It,Veep,Hello Ladies,Arrested Development,This Is Ellen,Suburgatory,2 Broke Girls,Bob's Burgers,The Office,Pepper,Bridesmaids,Good Luck Charlie,Svetlana,Brainstorm,Kath & Kim,Emily's Reasons Why Not,Point View Terrace,Reno 911!"
Jarrett Worley,"Late Bloomers,Black Lightning,Breezy's,L.A.'s Finest,Narcos: Mexico,Swiped Out,Daredevil,Animal Kingdom,No Choice,Far Cry 5: Inside Eden's Gate,American Crime Story,Brock Bledsoe: Future Hero,ADDicted,Meneleya,Boomerang,Southland,The Wicked Waltz,Cinder,Adam,Where's Tuesday Monday?"
Jorge Antonio Guerrero,"Bonded,Caballero Águila,The Five Juanas,Drunken Birds,We Are Living Things,Everybody's Talking About Jamie,Hernán,Sitiados: México,Crime Diaries: The Candidate,Narcos: Mexico,Roma,Luis Miguel: The Series"
Brionne Davis,"Dark Beauty,Enlightenment Lite,Narcos: Mexico,Never Stop,Broken Ground,Castle Rock,Mom and Dad,Better Criminal,Atticus' Activists,High Yellow,Ray Donovan,Fire City: End of Days,Embrace of the Serpent,Misbehaving,Narcissist,Chase Me Through,Mingle,Avenged,Gentlemen Explorers,The A.A. Meeting,Plant Life,Dorothy and the Witches of Oz,The Witches of Oz,The Night Grift,Rest Stop: Don't Look Back,Agent 5: A Night in the Last Life of,Systolic,Pandemic,Holidays with Heather,MakeOver Bandits,The Details of His Death,Black-eyed,Jesse's Closet,Holding Patterns,Bone Snap"
Jake B. Miller,"The Accursed,Desperate Widows,Find What You Love and Let It Kill You,Romeo 6721,His Secret Marriage,Nothing Gold Can Stay,Why Me?!,Datable,Narcos: Mexico,I Can Only Imagine,NCIS: Los Angeles,The Evolution,Shut Eye,The Plastic Man,Fear the Walking Dead,The Documentary,Adrenochrome,My Crazy Ex,Rematar,My Crazy Sex,Longmire,301,Where's Kevin,Criminal Minds,Blue Bloods,Origin,Roommates,Christmas Day Arrest,Hostage Do or Die,Prince Charming,Untitled Huey P. Newton Story,Life Wins,Interns Anonymous,Crisis: New York Under Water,Michael Poppins in the Curious Case of the Beastie Yeasties,Mercy,I Didn't Know I Was Pregnant,The Day the Earth Stopped,Mystery ER,20 Years After"
Daniel Quiróz,"Narcos: Mexico,Mutantes"
Clemente Dávila,"Amalgama,Narcos: Mexico"
Alan Cancino,"Esta historia me suena,Narcos: Mexico,La Bandida,La rosa de Guadalupe,Lady of Steel"
Aldo Verástegui,"Amaraica,Yankee,Narcos: Mexico,Malacopa,Los Ausentes,Chambelán,Potosí,Gustavo"
David Zorrilla,"Juzga,Viajeros,Sex, Shame and Tears 2,Siete Semanas,Un Dia Para Vivir,Los Vigilantes del Ródano (The Watchers of the Rhône),Los elegidos,Un Paso Atrás,Lady of Steel,Selena's Secret,Narcos: Mexico,El Ídolo,I Was a Dragon,Enemigo Íntimo,911: Officer Down,La Piloto,El Chema,Rosario Tijeras,Entrevista,What Mom Left Behind,Macho,Everything for Almost Nothing,Estudio en la Calle St. Jude,It Starts with Nothing,$2 Pesos,Dos años después,Dulces perversiones,Así"
Sergio Castillo,"Sin miedo a la verdad,Médicos, línea de vida,Narcos: Mexico,The Beauty and the Beasts,Por amar sin ley,Me declaro culpable,Papá a Toda Madre,Caer en tentación,The Candidate,La rosa de Guadalupe,Passion and Power,La malquerida,Gossip Girl: Acapulco,La mujer del Vendaval,Vengeance,Porque el amor manda,Vengeance: Episode 3 - Closing Time,CollegeHumor Originals,Como dice el dicho,The Power of Destiny,Mujeres asesinas,Gritos de muerte y libertad,Zacatillo, un lugar en tu corazón,Locaido el héroe,¿Y ahora qué hago?,El Pantera,Muchachitas como tú,La verdad oculta,Mujer, casos de la vida real,Wooden Woman,Real Love,Las vías del amor,Gringuito,Amigos secretos,Nocaut"
Daniel Damuzi,"Bardo,De Brutas, Nada,Dark Desire,Unstoppable,Preso No. 1,Amar a muerte,Narcos: Mexico,Hágase tu voluntad - Cortometraje,The Perfect Plan,A Good Reason,Last Days"
Daniel Rascón,"Expediente 53,El Señor de los Cielos,Por amar sin ley,Esta historia me suena,Narcos: Mexico,Como dice el dicho,El Chema,La rosa de Guadalupe,El Cazarecompensas,Compadres,Dios Inc.,Los Miserables,Dos Lunas,El placer de asesinar,Las ratas no tienen alas,Qué pobres tan ricos,Las Trampas del Deseo,Lo que la vida me robó,Ladies Nice"
Nicolasa Ortíz Monasterio,"Cindy La Regia,Contar el amor,Mark of the Devil,Olimpia,Vagoneros,Falsos Falsificados,Narcos: Mexico,Falco,Diablo Guardián,El pacto,I Dream in Another Language"
Sergio Gutierrez,"El Galán. La TV cambió, él no,Before I Forget,La Luz Dividida,Promesas de Campaña,R,Nosotros los guapos,La Reina Soy Yo,Narcos: Mexico,BLACK OUT - Inquilinos Indeseables,BLACK OUT,Tres Milagros,Curiosidades históricas,La castración,Roomies"
Odiseo Bichir,"Implacables: Mexico,Narcos: Mexico,Everything Will Be Fine,Fuego ardiente,Unas ruinas,Fugitiva,La Doña,Vive por mí,A que no me dejas,Los Fabulosos 7,La mujer del Vendaval,Amor Del Bueno,The Wild Adventures of El Santos,Colosio,Hecho en China,Flor de fango,Timeless Love,Hidalgo - La historia jamás contada.,Gritos de muerte y libertad,Hermanos y detectives,Sexo y otros secretos,Mujeres asesinas,Alma de hierro,Mosquita muerta,Mundo de fieras,My Love, My Sin,Dark City,Adventures in Time,Antigua, My Life,Broken Hearts,Rogelio,Crónica de un desayuno,Friends Forever,El diario de Daniela,Mujer, casos de la vida real,A Sweet Scent of Death,No One Writes to the Colonel,Mi pequeña traviesa,La sombra del otro,La antorcha encendida,La casa del abuelo,Humble Maria,Algunas nubes,Caminos cruzados,Peor es nada,The Queen of the Night,Entre la vida y la muerte,Más allá del puente,Policía secreto,The Mischievous Dreamer,Valeria y Maximiliano,La fuerza del amor,Carrusel,Un lugar en el sol,El rincón de los prodigios,Rosa salvaje,El padre Gallo,Monte Calvario,Historias violentas,Frida Still Life,J.J. Juez,La venganza,Pacto de amor,Los miserables"
Rubén Jiménez,"Narcos: Mexico,An Unknown Enemy"
Danae Garcia,"Dale Gas,Narcos: Mexico"
Maurilio Ricaño,"Narcos: Mexico,Sin miedo a la verdad,Malinche"
Martín Rojas,"El Candidato,Sin miedo a la verdad,Narcos: Mexico,ZeroZeroZero,Enemigo Íntimo,Lying Heart,Como dice el dicho,Mujeres asesinas,Vecinos,La familia P. Luche,Mujer, casos de la vida real,Loving Again,Así son ellas,Las vías del amor,El juego de la vida,Carita de ángel,Ramona,Camila,La mentira,Marisol,Alondra"
Marcos Duarte,"Surviving the Cartel,Narcos: Mexico,The Devil Told Me What to Do,Rosario Tijeras,Silvia Pinal... frente a tí,Selena's Secret,El Cesar,Su nombre era Dolores, la Jenn que yo conocí,Inicuo: The Brotherhood,La querida del Centauro,Señorita Pólvora,Patient 27,Los infectados,Marcelino Pan y Vino,Los trashumantes,La bruja y el ladrón,Merc Force"
Baltimore Beltran,"The Silent Path,1938,Carpe Diem,Malverde: El Santo Patrón,Rex,Asphalt Goddess,Here on Earth,Apapacho,Bronco, Un Éxito Indomable,Windows on the World,Selena's Secret,Narcos: Mexico,Tattoo of Revenge,Tiempo de lluvia,El Futuro,Photomaton,Esmeralda's Twilight,Eco de trompeta,Revolver Mind,Common Causes for a Clinical Condition,Meister des Todes,La SIlla,Crónica de Castas,Romo,Estatuas,Amor Del Bueno,En la orilla,Llámame Tony,The Cinema Hold Up,Dorsal,Raging Sun, Raging Sky,Espiral,The Soft Rumor of Tumultuous Seas,Paloma,Mezcal,Hace falta un buen blues,Espiritu deportivo,La cañada,Espias en la ciudad,Bedtime Fairy Tales for Crocodiles"
John Wusah,"Dream Lover,Take Me Anywhere,Spilt Milk,Beautiful,Narcos: Mexico,Bullied No More,Bosch,Go Try,The Prom,L.A.'s Finest,White Terror,Seven Days,Zedd & Kehlani: Good Thing,In Full Bloom,F the Plus: Stories of Failed Asian Excellence,People Magazine Investigates,Echo,The Coroner: I Speak for the Dead,Spider-Man,Hanging Dead,Tomb Invader,Lost Stars,Chris and Anthony,Agents of S.H.I.E.L.D.,A Chorus Line,Red Hood: Reborn,Regular Show,The Night Job,Murder Book,Film Lab Presents,Wingman Inc.,The Scuttlebutt Assassins,Sunday,The Wong Dojo,The Cringe Chronicles,Perfect on Paper,Jake & Megan's Threesome,Peruchazhi,ColorLines,Valiant,République,The Comment Show,Joey's Poison,245,Shake It Up"
Norma Pablo,"Presencias,Guiexhuba,El juego de las llaves,Prayers for the Stolen,Cosas imposibles,The Mosquito Coast,Laif,Asphalt Goddess,Médicos, línea de vida,Workforce,Sitiados: México,Narcos: Mexico,Tattoo of Revenge,Falco,Yo soy Pepito,Here on Earth,Oasis,Oasis,Common Causes for a Clinical Condition,Tales of Mexico,Fisuras,Bleak Street,Nana,Lady of Steel,Lucifer,El Señor de los Cielos,La Impostora,La rosa de Guadalupe,Qué le dijiste a Dios?,The Empty Hours,She Doesn't Want to Sleep Alone,Pacientes,El encanto del águila,The Reasons of the Heart,Gritos de muerte y libertad,El Octavo Mandamiento,On Childhood,Capadocia,Sleep Dealer,Under the Same Moon,Never on a Sunday,Política Interna,The Violin,Rabbit on the Moon,Man on Fire"
Ricky Gut Mad,"Narcos: Mexico,Anya,El Canal Telexit"
Damián Alcázar,"La Sustancia del Mal,El Secreto del Retrato,Here Be Dragons,Safari,Poderoso Victoria,Bloopers,Acapulco,Narcos: Mexico,The King of all the World,Carta Blanca,Before I Forget,No fue mi culpa: México,Mosh,Preso No. 1,Tijuana,Miss Bala,Rubirosa (Serie),Rubirosa 3,The Mongolian Conspiracy,Rubirosa 2,Rubirosa,Sin Senos Sí Hay Paraíso,José José: El príncipe de la canción,Lady of Steel,Narcos,Ana y Bruno,2091,El Hotel,El Dandy,Las Aparicio,La Sargento Matacho,Mangoré,Magallanes,The Thin Yellow Line,Eddie Reynolds y Los Ángeles de Acero,Olvidados,Metástasis,The Perfect Dictatorship,La vida de una diva,Ciudadano Buelna,Capadocia,Kdabra,Lynch,Fecha de caducidad,El encanto del águila,El último comandante,Hell,García,Los dos Pérez,Chicogrande,Las Aparicio,Plaga,On Childhood,Corto libre,Of Love and Other Demons,Don't Let Me Drown,Bitten Bullet,Tides of Sand,The Chronicles of Narnia: Prince Caspian,Planta baja,Teo's Journey,¡Pega Martín pega!,Señas particulares,Borderland,Satanás,Traducción simultánea,Aquí no hay nadie,Fuera del cielo,Un mundo maravilloso,Only God Knows,Las vueltas del citrillo,The Table Is Set,Cronicas,Héctor,La escondida,El Alma Herida,And Starring Pancho Villa as Himself,Nadie regresa por tercera vez,Ana,The Crime of Padre Amaro,The Blue Room,Pachito Rex: I'm Leaving But Not for Good,Todo por amor,Crónica de un desayuno,Compassionate Sex,Sofía,Brisa de Navidad,Cuentos para solitarios,Herod's Law,Ave María,Cruz,Bajo California: El límite del tiempo,Demasiado corazón,El banquete,Men with Guns,Rastros,El timbre,Jaque de familia,Katuwira, donde nacen y mueren los sueños,El anzuelo,Tres minutos en la oscuridad,Overkill,Detrás del dinero,On the Air,Algunas nubes,Dos crímenes,Entre vivos y muertos,Fantasma unido jamás será vencido,Pánico en el paraíso,Ámbar,Nurses on the Line: The Crash of Flight 7,Lolo,Abuelita de Bakman,Cita en el paraíso,De barro,Diplomatic Immunity,Con el amor no se juega,Sombra de ángel,Un cielo cruel y una tierra colorada,Highway Patrolman,Woman of the Port,Bandidos,Yo no creo en los hombres,Las buenas costumbres,Saturday Night Thief,The Legend of the Mask,Mi pequeña Soledad,The Naked City,Romero,Carta de un sobrino,Pasa en las mejores familias,Debutantes,El camino secreto,El centro del laberinto"
César López,"Narcos: Mexico,The House of Flowers,Lady of Steel,La querida del Centauro"
Palmeira Cruz,"La Cena,La Princesa,Inocente Tentación,The Five Juanas,Esta historia me suena,Médicos, línea de vida,Narcos: Mexico,Rosario Tijeras,Como dice el dicho,Cofradía,Me gusta, pero me asusta,Vuelve Temprano,La rosa de Guadalupe,Amazonas,Por siempre Joan Sebastián,El Señor de los Cielos,El Capitán Camacho,Fragmented,The Return,Último Año,Lo que callamos las mujeres,Amor Cautivo,Cada quien su santo,La mujer de Judas,Emperatriz"
Israel Salmer,"Si nos dejan,La Doña,Narcos: Mexico,The Beauty and the Beasts,Papis muy padres"
Jorge Aranda,"Un Dia Para Vivir,Narcos: Mexico,Alma de ángel,Julia vs Julia,Esta historia me suena,Niñas Promedio,Como dice el dicho,Paramedicos"
Víctor César Villalobos,"Narcos: Mexico,El Más Buscado,Amor en custodia,Amores difíciles"
Esteban Caicedo,"Lluvia,Asphalt Goddess,The Day Began Yesterday,Narcos: Mexico,I Carry You with Me,Lazareto"
Octavio Hinojosa,"Juzga,Come Play with Me,How to Survive Being Single,Narcos: Mexico,Claramente,Por la Máscara,Por la Máscara: La Serie Web,Sobreviví,La Fiscal de Hierro,La Hija Pródiga,Su nombre era Dolores, la Jenn que yo conocí,La Piloto,Entre Correr y Vivir,Where the Waves Collide,Lo que callamos las mujeres"
Juan Pablo de Santiago,"Daylight,A Quien Cierra Los Ojos,Búnker,Agua Mágica,Grumpy Christmas,La Muchacha Que Limpia,Manchester Acatitla,Funeral,La Doña,Sitiados: México,Fuego en el sótano,Yankee,Fire in the Basement,Narcos: Mexico,An Unknown Enemy,B-167-980-098,El Chapo,Club de Cuervos,Cosas con las manos,Alt J: 3WW,I Dream in Another Language,La Voz de un Sueño,Suck it, boss,Un Respiro,Porcelana,Pacientes,El Diez,The Cinema Hold Up,The Secret Adventures of Wiz Kid,I'm Gonna Explode"
Armando Comonfort Santiago,"ZeroZeroZero,Malinche,Narcos: Mexico"
Edgar Novoa,"Tenías que ser tú,Un Dia Para Vivir,Monarca,Un poquito tuyo,Narcos: Mexico,Sr. Ávila,Diablo Guardián,El Señor de los Cielos,Guerra de Idolos,Sincronía,La Hermandad,Cantinflas,La vida de una loca,Roomies,2033,María Navajas II,Cambio de suerte,La prometida,Tired of Kissing Frogs"
Mario Escalante,"Lluvia,Como Pajaros y Abejas,Archivo Muerto,Lo que la gente cuenta,Un Dia Para Vivir,Bankrolled,La Muchacha Que Limpia,Monarca,Narcos: Mexico,Territorio,Emma,Los elegidos,My Best Friend's Wedding,Selena's Secret,Lady of Steel,Ay Güey, Chicas Bien,El Cesar,El Vato,Gigantes de México,Como matar a un esposo muerto,April's Daughter,La Cita Familiar,Yo no soy guerrillero,The Candidate,Dios Inc.,Soy Nero,Purasangre,The Heirs,Archivo 253,Hyena's Blood,Arrepentidos,Al Otro Lado de las Montañas,Camelia La Texana,Vladimir en mi,Paradise,Sr. Ávila,4 maras,Jaguar"
Josue Arevalo Mayer,"Narcos: Mexico,Lying Heart,Simply María,Como dice el dicho,El Pantera,Mujer, casos de la vida real,De uno en uno,Salomé,Cándido Pérez, Dr."
Camila Puerto,"El Dragón: Return of a Warrior,Narcos: Mexico"
Antonio Fortier,"Cuarentones,Los ricos también lloran,El juego de las llaves,Esta historia me suena,El Candidato,Barbara's Sins,Rubí,La Bandida,The Sons of the Jaguar,Cachito Mío,Niñas Promedio,Narcos: Mexico,An Unknown Enemy,Como dice el dicho,Blue Demon,La Doña,Vuelve Temprano,Lo que la vida me robó,Corazón indomable,Porque el amor manda,The One Who Couldn't Love,El Equipo,Zacatillo, un lugar en tu corazón"
Bruno Balam,"Narcos: Mexico,Como dice el dicho,Fragmented,Los simuladores,Vecinos"
Cuauhtli Jiménez,"Malverde: El Santo Patrón,Finlandia,S.O.Z: Soldados o Zombies,Te acuerdas de mí,Run Coyote Run,La Doña,Esta historia me suena,QUE DIFÍCIL ES AMAR (no es otra tonta comedia romántica),The Darkness,Dos Fridas,Narcos: Mexico,La rosa de Guadalupe,Tres Milagros,Montañistas,Como te ves, me vi,Fear the Walking Dead,Por siempre Joan Sebastián,La querida del Centauro,Kin,El Capitán Camacho,Lady of Steel,Visitantes,Carmín Tropical,Dos Lunas,El Señor de los Cielos,Mentir para vivir,El Shakka,Mujeres maras,Dia de Gracia,Secretos de vecindad,Ladies Mafia,Los hijos de la Bulldog,We Are What We Are,Capadocia"
David Cañete,"Narcos: Mexico,La rosa de Guadalupe,Hysteria,Simply María"
Derek Smith,"Dead Wrong,Tackle,Westworld,Project Blue Book,Narcos: Mexico,What/If,Eulogilia,One of Us,Say Hello,Grey's Anatomy,Comedy Sketch TV Time, Okay?,Beverly Hills Server,The Good Wife,CSI: Crime Scene Investigation,Drop Dead Diva,The Things,Criminal Minds,Two Weeks of Husbands,Picturesque,MANswers"
Augusto Granados,"Narcos: Mexico,Enemigo Íntimo,Érase una vez,Guerra de Idolos,La Piloto,Vuelve Temprano,Lady of Steel,El Señor de los Cielos,Camelia La Texana,Rosa Diamante,Amor Cautivo"
Roxana Saucedo,"Un Dia Para Vivir,La rosa de Guadalupe,Narcos: Mexico,Esta historia me suena,Un día cualquiera,A corazón abierto,Cielo Rojo,Cada quien su santo,La familia P. Luche,Mujer, casos de la vida real,Amar sin límites,Bajo el mismo techo,Clap!... El lugar de tus sueños,Clase 406,Blameless Love,Adventures in Time,Por un beso,El Shaka,¿Qué nos pasa?,La antorcha encendida,Humble Maria,Imperio de cristal,La dinastía de Los Pérez,Ni angel ni demonio... un macho!,Cándido Pérez, Dr.,Pacto de sinvergüenzas,The Mischievous Dreamer,Mi pequeña Soledad,Morir para vivir,Simplemente María,Rosa salvaje,Seducción,Vivir un poco,Principessa,La fiera,Vanessa,Colorina,Marcha nupcial,Mi hermana la Nena,The Passion of Berenice,El rey"
Luis Maya,"No fue mi culpa: México,Adentro,Narcos: Mexico,Luis Miguel: The Series,Tuya, mía... te la apuesto,José José: El príncipe de la canción,La querida del Centauro,Señorita Pólvora"
