actor,movie_or_TV_name
Flavio Medina,"Donde los pájaros van a morir,Ojos que no ven,Narcos: Mexico,Everything Will Be Fine,The House of Flowers,ZeroZeroZero,Diablero,Mami, una mujer ideal,Cuna de Lobos,La Reina del Sur,Souvenir,Sonora, the Devil's Highway,El Recluso,The Good Girls,Una Mujer Sin Filtro,The Inhabitant,Yago,Estar o no estar,I Don't Trust Men Anymore,Yo no creo en los hombres... el origen,The Obscure Spring,Quiero amarte,The Perfect Dictatorship,Fachon Models,Cigarros,Cásate conmigo, mi amor,Inercia,Valiant Love,El Equipo,Para volver a amar,Mujeres asesinas,Hidalgo - La historia jamás contada.,Háblame,Alma de hierro,Mujer, casos de la vida real"
Jonathan Ochoa,"Quererlo todo,Narcos: Mexico,Como dice el dicho,La rosa de Guadalupe,Yago,Ciclico"
Sebastián Buitrón,"Narcos: Mexico,The Gigantes,No fue mi culpa: México,Revueltas,Unstoppable,If I Were You,El Cesar,Un día cualquiera,Todo lo que no quiero,El Artista de la Familia,El Guardian del Aeropuerto,Amarás a todas las Cecilias"
Juliana Lopez Collado,"Displaced,The Tempest,Triunfo del amor,Narcos: Mexico"
Francisco Rubio,"Contigo sí,Rebelde,Narcos: Mexico,Broken Souls,Human Animals,La Doña,#P0ZMe,Mi Familia Perfecta,El Imperio Gay, La Desaparición,Maldita Tentación,Manual de principiantes para ser presidente,TOuriST,Sr. Ávila,Simply María,Por siempre mi amor,La mujer del Vendaval,Capadocia,A Shelter for Love,La rosa de Guadalupe,Como dice el dicho,Soy tu fan,Don't Mess with an Angel,Juro que te amo,Mujer, casos de la vida real,Las dos caras de Ana,Clase 406,El juego de la vida"
Edison Ruíz,"Bardo,Blackout,Le temps des framboises,Infinite,Monarca,El Dragón: Return of a Warrior,Operación Pacífico,Futuro cercano,Don Héctor,Narcos: Mexico,An Unknown Enemy,Hágase tu voluntad - Cortometraje,José José: El príncipe de la canción,Guerra de Idolos,LUCHA: Fight, Wrestle, Struggle,Perseguidos,Km 31-2,El tamaño sí importa,Drunk History: El Lado Borroso De La Historia,Runner,Interna,El Capitán Camacho,Los Miserables,I Don't Trust Men Anymore,Cantinflas,Arrepentidos,Crónica de Castas,Después de la Z,Historias de la Virgen Morena,Amante de lo ajeno,Morelos,Paramedicos,Secretos de vecindad,Memories of My Melancholy Whores,Reacciones adversas,Drenaje Profundo,Los simuladores,Quince años,Montecristo,Decisiones de mujeres,Gitanas,Mirada de mujer: El regreso"
Ethan Korver,"Camp Grounds II,Camp Ground,The Extreme Dago Show,Far Away From Hell,The Italian Who Knows It All,I Didn't Hear No Bell,Italian Is in the Town,Dead Island 2,Dying Light 2: Stay Human,Wasteland 3,Narcos: Mexico,Limbo,Brawl in Cell Block 99,Ghost Recon: Wildlands,Camp Ground,Call of Duty: Infinite Warfare,Mafia III"
Alan Soto,"Acapulco,Narcos: Mexico"
Andrew Bongiorno,"A Kind of Destiny,Grief,Wentworth,Neighbours,Anonymous Killers,Mafia: Definitive Edition,Narcos: Mexico,Bennett's War,I Am Alive,Soundwave,Olivia Newton-John: Hopelessly Devoted to You,Lethal Weapon,Mommy, I Didn't Do It,Live by Night,Mistresses,True Nightmares,Aberration,NCIS,Wait,My Crazy Ex,NCIS: Los Angeles,Free!,Bachelor Night,Blood Relatives,Unusual Suspects,Beverly Hills Pawn,Patterns of Attraction,Tabloid,Mega Shark vs. Mecha Shark,Not Hear,Dracula: The Impaler,The Book of Daniel,High Tide,Finding Normal,The Cup,The Good Neighbour,Satisfaction,Rush"
Zamira Franco,"Coche,Narcos: Mexico,New Order,Museo"
Steve Kisicki,"Narcos: Mexico,The Last Man,Cetáceos,Uncanny Valley,The Clan"
Jesús Ochoa,"A la Carta,Aquí entre nos 2,Black or White, Never Gray,La Usurpadora, the Musical,The Wingwalker,Narcos: Mexico,Little Eggs: An African Rescue,Polvo,Renta congelada,Overboard,Por amar sin ley,La prima,El bienamado,The Three Sides of Ana,El tamaño sí importa,El hotel de los secretos,Don't Blame the Kid,H.O.M.E.,Find a Boyfriend for My Wife... PLEASE!,Por mis bigotes,El Jeremías,I Don't Trust Men Anymore,Yo no creo en los hombres... el origen,The Popcorn Chronicles,Libre para amarte,Instructions Not Included,Más amaneceres,Yo Soy Tu Niña,La Promesa,The Wild Adventures of El Santos,Por ella soy Eva,El fantástico mundo de Juan Orol,La familia P. Luche,Lynch,Get the Gringo,La Cama,Aquí entre nos,Red Lips,La cebra,Private Pérez,Para volver a amar,Los héroes del norte,Boogie,The Disorderly Maids of the Neighborhood,Quantum of Solace,Divina confusión,40° a la sombra,Beverly Hills Chihuahua,Tiempo final,All Inclusive,Paraiso Travel,Legend Quest: The Legend of La Nahuala,Equinoccio y la pirámide mágica,Cementerio de papel,Year of the Nail,Perrito bomba,Se busca un hombre,Blood of My Blood,Sexo, amor y otras perversiones 2,Interrupción en el continuo espacio tiempo,Campeones de la vida,Curse of the Creeps,Un mundo maravilloso,Only God Knows,50 Cent: Just a Lil Bit,A Good Death Beats a Dull Life,La sombra del sahuaro,Los Sánchez,Dragones: destino de fuego,Tan infinito como el desierto,Rabbit on the Moon,Charros,Innocent Voices,Zapato,Zapata - El sueño del héroe,Man on Fire,Pink Punch,Ladies' Night,La luna de Antonio,Nicotina,Carambola,Ana,Tiro de gracia,El mago,La duda,I Murder Seriously,Dark City,Haciendas pulqueras,Amores querer con alevosía,A Second Chance,Los maravillosos olores de la vida,Magia,Crónica de un desayuno,Leaving No Trace,Coapa Heights,La mirada de la ausencia,Herod's Law,El amor de mi vida,Bajo California: El límite del tiempo,Demasiado corazón,A Corner of Paradise,Madame le consul,Rastros,Alta tensión,Cilantro y perejil,Sucesos distantes,Entre Pancho Villa y una mujer desnuda,Marisol,Retrato de familia,Si Dios me quita la vida,Sender Unknown,Desiertos mares,Midaq Alley,Dos crímenes,Ponchada,La orilla de la tierra"
Renée Sabina,"Narcos: Mexico,Atrapada,Beyond the Mountain"
Alberto Juárez,"Narcos: Mexico,Vapor,I Carry You with Me,La fábula del silencio"
Odín Ayala,"La Cabeza de Joaquín Murrieta,El Repatriado,Toda la sangre,Bardo,Cassandro,El Jardin aka: Narco Killer,God Is a Bullet,Pena Ajena,Tequila Re-Pasado,The Envoys,Maradona: Blessed Dream,Before I Forget,No fue mi culpa: México,The War Next-door,Somos.,Monarca,Diablero,Rosario Tijeras,Hernán,ZeroZeroZero,La Reina Soy Yo,Tijuana,La Bandida,Run Coyote Run,Por la Máscara,Narcos: Mexico"
Valeria Lorduguin,"Narcos: Mexico,Un Dia Para Vivir,Selena's Secret,Así en el barrio como en el cielo"
Edgar Espinosa,"Narcos: Mexico,A Happy Wound,Sacaste Boleto,Como dice el dicho"
